Cell_Cycle_Genes
ENSMUSG00000001155 
ENSMUSG00000000562 
ENSMUSG00000000982 
ENSMUSG00000001134 
ENSMUSG00000001383 
ENSMUSG00000000555 
ENSMUSG00000000486 
ENSMUSG00000000411 
ENSMUSG00000000171 
ENSMUSG00000000568 
ENSMUSG00000000148 
ENSMUSG00000000753 
ENSMUSG00000000693 
ENSMUSG00000001281 
ENSMUSG00000001211 
ENSMUSG00000001416 
ENSMUSG00000000631 
ENSMUSG00000001127 
ENSMUSG00000001095 
ENSMUSG00000000876 
ENSMUSG00000000823 
ENSMUSG00000000531 
ENSMUSG00000001056 
ENSMUSG00000000037 
ENSMUSG00000000861 
ENSMUSG00000001305 
ENSMUSG00000000157 
ENSMUSG00000001225 
ENSMUSG00000000384 
ENSMUSG00000000126 
ENSMUSG00000000355 
ENSMUSG00000000248 
ENSMUSG00000000308 
ENSMUSG00000000884 
ENSMUSG00000000078 
ENSMUSG00000000739 
ENSMUSG00000001419 
ENSMUSG00000000776 
ENSMUSG00000000394 
ENSMUSG00000000399 
ENSMUSG00000000435 
ENSMUSG00000000730 
ENSMUSG00000000402 
ENSMUSG00000000439 
ENSMUSG00000000142 
ENSMUSG00000000346 
ENSMUSG00000001376 
ENSMUSG00000000409 
ENSMUSG00000001349 
ENSMUSG00000000817 
ENSMUSG00000001285 
ENSMUSG00000001054 
ENSMUSG00000000182 
ENSMUSG00000001313 
ENSMUSG00000001105 
ENSMUSG00000001300 
ENSMUSG00000000594 
ENSMUSG00000001420 
ENSMUSG00000001027 
ENSMUSG00000000561 
ENSMUSG00000001052 
ENSMUSG00000001247 
ENSMUSG00000000686 
ENSMUSG00000001366 
ENSMUSG00000000295 
ENSMUSG00000000530 
ENSMUSG00000000787 
ENSMUSG00000000317 
ENSMUSG00000000441 
ENSMUSG00000000374 
ENSMUSG00000000282 
ENSMUSG00000000305 
ENSMUSG00000001029 
ENSMUSG00000001260 
ENSMUSG00000000031 
ENSMUSG00000001082 
ENSMUSG00000001417 
ENSMUSG00000000103 
ENSMUSG00000000204 
ENSMUSG00000001131 
ENSMUSG00000000948 
ENSMUSG00000000253 
ENSMUSG00000001415 
ENSMUSG00000000247 
ENSMUSG00000000296 
ENSMUSG00000000869 
ENSMUSG00000000889 
ENSMUSG00000000167 
ENSMUSG00000000731 
ENSMUSG00000000738 
ENSMUSG00000000690 
ENSMUSG00000001249 
ENSMUSG00000000215 
ENSMUSG00000000740 
ENSMUSG00000001227 
ENSMUSG00000001288 
ENSMUSG00000001016 
ENSMUSG00000000134 
ENSMUSG00000001333 
ENSMUSG00000001018 
ENSMUSG00000000673 
ENSMUSG00000001175 
ENSMUSG00000000706 
ENSMUSG00000000751 
ENSMUSG00000001089 
ENSMUSG00000000606 
ENSMUSG00000000901 
ENSMUSG00000000202 
ENSMUSG00000001280 
ENSMUSG00000001021 
ENSMUSG00000001418 
ENSMUSG00000000759 
ENSMUSG00000001379 
ENSMUSG00000000385 
ENSMUSG00000000732 
ENSMUSG00000000184 
ENSMUSG00000001119 
ENSMUSG00000000049 
ENSMUSG00000000365 
ENSMUSG00000001403 
ENSMUSG00000000560 
ENSMUSG00000001158 
ENSMUSG00000000214 
ENSMUSG00000001100 
ENSMUSG00000000701 
ENSMUSG00000000056 
ENSMUSG00000000942 
ENSMUSG00000000826 
ENSMUSG00000000290 
ENSMUSG00000001150 
ENSMUSG00000000197 
ENSMUSG00000001248 
ENSMUSG00000001143 
ENSMUSG00000000544 
ENSMUSG00000001036 
ENSMUSG00000001138 
ENSMUSG00000000938 
ENSMUSG00000000724 
