gene_id	antibody_id
CCR2	CAB003793
CCR3	CAB003795
CCR7	CAB003796
CDK1	CAB003799
CDC25C	CAB003800
JUN	CAB003801
CREB1	CAB003803
CCNB1	CAB003804
ELK1	CAB003808
EPCAM	CAB003809
HIST3H3	CAB003812
NFKBIA	CAB003815
LCK	CAB003816
MAP2K1	CAB003834
MAP2K2	CAB003835
NBN	CAB003836
CTNND1	CAB003837
RPS6KB1	CAB003838
PARP1	CAB003839
PARP1	CAB003840
PXN	CAB003841
PDGFRB	CAB003842
PRKCB	CAB003843
PRKCA	CAB003844
EIF2AK2	CAB003845
PLEC	CAB003847
PPP2CA	CAB003848
PTK2B	CAB003850
RAP1GAP	CAB003851
RPS6KA1	CAB003852
RPS6KA3	CAB003853
SIRT1	CAB003855
DIABLO	CAB003857
STAT2	CAB003858
STAT3	CAB003859
STAT5A	CAB003860
HTRA2	CAB004004
SCGN	CAB004005
LMNA	CAB004022
SRC	CAB004023
TLR4	CAB004025
PPP1R1B	CAB004026
RPS6	CAB004027
KDR	CAB004028
HIST1H2AH	CAB004030
NFKB1	CAB004031
PPP2R1B	CAB004034
EZR	CAB004035
PTK2	CAB004036
STK4	CAB004038
ILK	CAB004041
TCL1A	CAB004045
STAT1	CAB004049
FOXO3	CAB004074
PTEN	CAB004076
EIF4E	CAB004077
SPI1	CAB004079
COX4I1	CAB004080
MRE11	CAB004081
NEDD8	CAB004082
TP53BP1	CAB004083
AKT2	CAB004204
BAD	CAB004205
BAX	CAB004206
SMARCA4	CAB004208
C3	CAB004209
NCL	CAB004210
NFYB	CAB004211
CREBBP	CAB004212
CEBPB	CAB004213
CDC37	CAB004214
CDK9	CAB004216
CTBP1	CAB004217
CYCS	CAB004222
DOK1	CAB004224
EIF5	CAB004226
MAPK1	CAB004229
EWSR1	CAB004230
FGFR3	CAB004231
HDAC6	CAB004236
HSF1	CAB004239
CHUK	CAB004240
IQGAP2	CAB004241
COPS5	CAB004242
XRCC6	CAB004254
LAMB1	CAB004256
LAMC2	CAB004257
LAMP1	CAB004260
MAP2K7	CAB004262
RELA	CAB004264
PIK3R1	CAB004268
SUMO1	CAB004269
BIRC5	CAB004270
PDPK1	CAB004272
PLCB1	CAB004275
PLCG1	CAB004277
PLCG2	CAB004280
PPARG	CAB004282
TSG101	CAB004283
PKNOX1	CAB004285
TUBB1	CAB004286
RACK1	CAB004288
WAS	CAB004290
RANGAP1	CAB004293
APEX1	CAB004294
STAT5B	CAB004298
NFIC	CAB004300
ACTN1	CAB004303
AP2A1	CAB004306
ADA	CAB004307
AKAP5	CAB004308
AMY1A	CAB004310
ANXA2	CAB004311
ANXA7	CAB004312
ARNT	CAB004318
CD86	CAB004319
SMARCC2	CAB004321
BAP1	CAB004322
DFFB	CAB004328
CAMK2A	CAB004330
CAMK4	CAB004347
CASP9	CAB004348
CSNK2B	CAB004349
CBL	CAB004350
CD2AP	CAB004352
CD8B	CAB004353
CDC42	CAB004360
CDK6	CAB004363
CDK7	CAB004364
YES1	CAB004370
POR	CAB004372
DIDO1	CAB004374
POLD1	CAB004375
DOCK1	CAB004378
DOK2	CAB004379
RAPGEF3	CAB004386
RAPGEF4	CAB004388
ERCC1	CAB004390
FBLN1	CAB004393
FLOT2	CAB004395
FOSL1	CAB004396
CLIP1	CAB004399
REL	CAB004404
GABPA	CAB004411
GAD1	CAB004415
GAP43	CAB004417
GPHN	CAB004419
GFI1B	CAB004420
GSK3A	CAB004422
CCL14	CAB004423
HDAC4	CAB004431
TCF12	CAB004432
HNRNPK	CAB004435
HNRNPH2	CAB004436
HOMER1	CAB004437
HOXB13	CAB004438
HSPB1	CAB004439
SERPINH1	CAB004441
ELAVL4	CAB004442
IGFBP1	CAB004445
IKBKB	CAB004447
IL4R	CAB004451
IL15	CAB004457
ITGAX	CAB004458
IRAK1	CAB004461
MAPK8	CAB004463
JUNB	CAB004464
PRKCSH	CAB004465
XRCC5	CAB004468
LAMC1	CAB004486
PAFAH1B1	CAB004489
LRP6	CAB004490
HELLS	CAB004491
LYN	CAB004492
MALT1	CAB004494
MNAT1	CAB004495
MCM4	CAB004497
MEF2A	CAB004499
MAP3K1	CAB004500
MYL12A	CAB004503
SIN3A	CAB004506
MTA1	CAB004508
NAB2	CAB004510
NRP1	CAB004511
NFATC1	CAB004513
NCF1	CAB004524
CDC20	CAB004525
KAT2B	CAB004526
PLD1	CAB004527
PIN1	CAB004528
PRKACG	CAB004530
ZBTB16	CAB004540
PPME1	CAB004541
PKD2	CAB004544
PPP1CA	CAB004545
MAPKAPK5	CAB004546
JMJD6	CAB004548
RABEP1	CAB004549
RAD17	CAB004551
BRAF	CAB004552
RBP4	CAB004555
RFC4	CAB004557
RGS10	CAB004559
ROCK1	CAB004562
RPA1	CAB004563
RXRA	CAB004565
TRIM21	CAB004566
RAB5A	CAB004567
PTPN6	CAB004572
SIRT2	CAB004573
LCP2	CAB004574
SOS2	CAB004577
SFTPD	CAB004578
SP3	CAB004580
SPTAN1	CAB004581
SQSTM1	CAB004587
TCAP	CAB004591
TNC	CAB004592
GTF2I	CAB004595
THBS4	CAB004597
TNFAIP2	CAB004598
TOP2B	CAB004601
TRADD	CAB004602
TRAF2	CAB004603
TRAF6	CAB004605
NTRK1	CAB004606
TXNRD1	CAB004607
TUBG1	CAB004608
TUBD1	CAB004609
UBTF	CAB004611
VASP	CAB004612
ATP6V1G1	CAB004615
ATP6V1G2	CAB004616
VDR	CAB004617
WEE1	CAB004619
TUBA4A	CAB004621
GTF2H1	CAB004637
FKBP1A	CAB004639
LDHB	CAB004641
SSB	CAB004643
ALDH4A1	CAB004645
DNAJA4	CAB004646
PSAP	CAB004647
PRKRA	CAB004648
SH3GLB1	CAB004650
CD247	CAB004651
SNRPA	CAB004652
PPIA	CAB004655
GSDMD	CAB004656
TRAPPC2	CAB004665
PGM1	CAB004666
DDX6	CAB004668
NOTCH2NL	CAB004669
DNAJB6	CAB004670
F11R	CAB004671
STK38	CAB004673
NFIC	CAB004674
CSTF2	CAB004680
GIT2	CAB004681
PRDX1	CAB004682
TK1	CAB004683
NUDT2	CAB004684
TPM4	CAB004685
TP53RK	CAB004688
