gene_id	antibody_id
HEPACAM	CAB025486
PRSS1	CAB025487
FABP7	CAB025488
IFNL2	CAB025489
GPR34	CAB025490
S100A13	CAB025494
THOP1	CAB025497
PPP1R10	CAB025501
KLK5	CAB025503
SMAD2	CAB025507
SOCS5	CAB025510
CARTPT	CAB025515
LRPAP1	CAB025518
ERBB4	CAB025522
HSPA4	CAB025529
FAHD1	CAB025530
PRSS1	CAB025538
DPP7	CAB025541
CA8	CAB025545
DAXX	CAB025546
ZFP42	CAB025557
FKBP2	CAB025561
CASP7	CAB025563
CA13	CAB025567
MAFG	CAB025573
HAND2	CAB025576
GRK5	CAB025579
ARHGEF12	CAB025581
UCP2	CAB025583
NAALADL2	CAB025586
SOX17	CAB025594
POU5F1	CAB025600
CRELD2	CAB025604
C1QTNF5	CAB025607
BLOC1S5	CAB025613
ERAP2	CAB025618
FAM19A5	CAB025629
TNFRSF10C	CAB025635
CDCP1	CAB025637
ZNF24	CAB025642
CSHL1	CAB025646
OSTN	CAB025649
LGALS4	CAB025653
DDR1	CAB025656
IL31	CAB025657
TLR3	CAB025658
SOST	CAB025660
BPIFA1	CAB025669
SCGB1A1	CAB025686
SUMF2	CAB025743
CADM3	CAB025746
PAK4	CAB025747
CALR3	CAB025749
LUM	CAB025783
IL6ST	CAB025784
SDC3	CAB025786
CA1	CAB025790
AOC3	CAB025797
AGT	CAB025798
LEFTY2	CAB025801
IL20	CAB025802
BOC	CAB025806
SIGLEC10	CAB025807
TFF2	CAB025834
APLNR	CAB025842
FBLN5	CAB025843
LOXL2	CAB025848
CTF1	CAB025853
MAPK13	CAB025854
RACGAP1	CAB025859
LYVE1	CAB025860
BCAN	CAB025862
CDH13	CAB025863
CD36	CAB025866
REG4	CAB025867
MMP7	CAB025869
S100A12	CAB025872
PDX1	CAB025873
ADAMTS4	CAB025876
PGLYRP4	CAB025879
SKAP1	CAB025882
TMED7	CAB025883
APOA2	CAB025885
IFNGR1	CAB025889
WNT7A	CAB025894
PLOD2	CAB025898
RSPO2	CAB025900
IDUA	CAB025901
REN	CAB025903
LBP	CAB025905
ADAM17	CAB025906
DDB2	CAB025912
ID1	CAB025915
YWHAH	CAB025918
GPA33	CAB025943
FCN3	CAB025945
IL24	CAB025972
HRK	CAB025973
IL18BP	CAB025980
IKBKE	CAB025983
LIF	CAB025985
ADAMTS5	CAB025996
VSIG4	CAB026000
TMEM123	CAB026001
HAVCR2	CAB026003
PF4	CAB026008
TSPAN8	CAB026009
RALB	CAB026010
GNS	CAB026011
FGFRL1	CAB026019
FST	CAB026025
TIMD4	CAB026027
HDGF	CAB026035
ICOSLG	CAB026037
SAA4	CAB026061
NRL	CAB026066
PAM	CAB026119
CHL1	CAB026120
ACVR1B	CAB026126
TRAT1	CAB026130
NBL1	CAB026132
NAAA	CAB026135
PIK3AP1	CAB026136
NECTIN2	CAB026138
FCRLB	CAB026139
EPHA1	CAB026144
CXCR5	CAB026149
TNFRSF14	CAB026150
CREB3L1	CAB026151
PLXNC1	CAB026155
CPB1	CAB026158
SERPING1	CAB026161
DDX4	CAB026170
C1RL	CAB026172
ACE2	CAB026174
CRNN	CAB026182
PINK1	CAB026191
CX3CL1	CAB026192
CNDP2	CAB026196
MSX1	CAB026198
LTBR	CAB026202
AHSG	CAB026209
SMAD7	CAB026212
IL15RA	CAB026215
SPARCL1	CAB026225
KLK14	CAB026228
RPS6KA2	CAB026243
IL17RC	CAB026255
PAX5	CAB026269
SCGB2A2	CAB026270
SERBP1	CAB026297
EPDR1	CAB026298
FOXP3	CAB026301
ALPP	CAB026327
BCL2L11	CAB026332
PHB2	CAB026335
KLK11	CAB026340
KLK5	CAB026341
KLK7	CAB026342
LALBA	CAB026343
CD63	CAB026356
MSMB	CAB026357
PGA3	CAB026358
PTH	CAB026363
SPINK1	CAB026366
CSH1	CAB026374
MAMDC4	CAB026377
CRYBG1	CAB026378
AKAP12	CAB026379
POU5F1	CAB026380
AMFR	CAB026381
ARFGEF2	CAB026382
PRRC2A	CAB026383
MEPCE	CAB026384
MS4A7	CAB026387
CIC	CAB026388
XIRP1	CAB026391
CMC2	CAB026396
FBN2	CAB026401
FMR1NB	CAB026403
GALNS	CAB026404
KALRN	CAB026456
HDLBP	CAB026457
IGSF22	CAB026459
ITGAE	CAB026461
KPNA5	CAB026464
PCDHB15	CAB026471
PDCD11	CAB026472
PDCL	CAB026473
CST1	CAB026769
MAFK	CAB026820
PAX5	CAB026869
MKNK1	CAB027355
S100A4	CAB027387
PRDX4	CAB027389
AKR1B1	CAB027391
CDH1	CAB028364
CDH5	CAB028366
EPHA4	CAB028368
APOL6	CAB028574
FBXW7	CAB029987
CEP290	CAB029995
CXCL14	CAB029996
TNFRSF14	CAB030007
EPCAM	CAB030012
IL32	CAB030029
TBX21	CAB030043
PI4K2A	CAB030649
TGFBR1	CAB031481
ADCY2	CAB031482
TAF4	CAB031484
EFNB1	CAB031489
CAMK1	CAB031904
CTBP2	CAB031916
PIK3CB	CAB031938
TKTL1	CAB032191
HMGA1	CAB032200
MT-CYB	CAB032215
EIF2B4	CAB032234
TFEC	CAB032260
AZGP1	CAB032276
IRF2	CAB032306
TAB1	CAB032328
DAB1	CAB032329
GNB5	CAB032353
TBX4	CAB032413
FCGR3A	CAB032435
CD209	CAB032436
HSD11B2	CAB032443
VLDLR	CAB032462
CX3CR1	CAB032478
GGT5	CAB032489
MSR1	CAB032491
BMX	CAB032495
EFNA1	CAB032498
EDN1	CAB032500
AXL	CAB032501
ABCC11	CAB032513
ABCD3	CAB032516
ANAPC4	CAB032519
HBA1	CAB032534
FASTK	CAB032539
DEFA1	CAB032548
ICOS	CAB032575
RALGDS	CAB032582
AKR7A2	CAB032587
STAR	CAB032598
C4A	CAB032603
LGALS7	CAB032606
GNG5	CAB032623
MCOLN1	CAB032637
CTDP1	CAB032641
COL1A2	CAB032650
NOLC1	CAB032654
HOMER3	CAB032656
CTSE	CAB032687
PEX13	CAB032689
ATP2A1	CAB032706
TNFAIP6	CAB032719
PRM2	CAB032738
GFRA2	CAB032791
HSPA1A	CAB032815
HNRNPH1	CAB032820
DDB1	CAB032821
HBP1	CAB032824
IL11RA	CAB032830
AKR7A2	CAB032841
DGAT1	CAB032853
NFATC4	CAB032859
RBBP6	CAB032866
TPSD1	CAB032871
PLTP	CAB032873
ADK	CAB032876
IREB2	CAB032885
BANF1	CAB032896
ENPP1	CAB032904
HMGCS2	CAB032906
HMGCS1	CAB032907
PTK6	CAB032952
CARM1	CAB032961
SYCP3	CAB032978
ARFIP2	CAB032985
BTRC	CAB032986
GPT	CAB032997
GPT	CAB032999
SULT2B1	CAB033013
DMAP1	CAB033018
FUS	CAB033036
APOBEC3C	CAB033048
ABCB9	CAB033052
NRBP1	CAB033078
DKC1	CAB033086
HPS4	CAB033106
ATRIP	CAB033109
FGG	CAB033120
PKP1	CAB033130
EML1	CAB033137
CLK1	CAB033141
TCOF1	CAB033199
UBE2K	CAB033212
IDH1	CAB033218
CAPN5	CAB033237
DPYD	CAB033241
UGT2B4	CAB033260
SYNPO	CAB033265
SCG3	CAB033274
ADAM23	CAB033276
BARX2	CAB033311
RPS27A	CAB033319
PLPP1	CAB033331
FBXL4	CAB033362
PNPT1	CAB033424
ELOVL1	CAB033426
MFN1	CAB033437
PGLYRP2	CAB033468
CAPN9	CAB033483
CYP2A7	CAB033510
UBE2K	CAB033515
MRPL28	CAB033542
MATR3	CAB033552
BCAS1	CAB033558
TGM4	CAB033571
GNL1	CAB033575
OAT	CAB033576
CHAF1B	CAB033604
TFDP1	CAB033605
FGFR1	CAB033614
CHRNA7	CAB033624
ATP1A3	CAB033630
CD14	CAB033631
RAB25	CAB033645
CYP4F11	CAB033648
CYP3A4	CAB033671
AIP	CAB033674
CEACAM8	CAB033676
THBS1	CAB033678
FAT2	CAB033680
SLC9A8	CAB033682
CFL1	CAB033687
CLEC4M	CAB033689
GPR183	CAB033690
CLEC4M	CAB033691
CERS4	CAB033734
PC	CAB033742
GPAT3	CAB033749
PELI3	CAB033750
PSMA1	CAB033765
S100A7	CAB033766
RANBP9	CAB033767
ANGPTL4	CAB033770
MT-ND1	CAB033779
UQCRC1	CAB033782
LRPPRC	CAB033786
PDHB	CAB033794
TMSB4X	CAB033806
PLIN1	CAB033821
DAPP1	CAB033822
CD209	CAB033831
DGKQ	CAB033835
DYNC1I2	CAB033836
ERI1	CAB033838
FANCL	CAB033842
INSL5	CAB033849
HAS3	CAB033850
INSIG2	CAB033861
CYP2B6	CAB033866
RAD23B	CAB033868
FBP1	CAB033869
CHMP5	CAB033874
LOXL4	CAB033876
MATN2	CAB033879
MYL7	CAB033884
SMPD3	CAB033885
RFK	CAB033887
ANLN	CAB033902
PSMB1	CAB033911
PDXK	CAB033918
SURF1	CAB033946
STARD7	CAB033965
EVL	CAB033987
TIGAR	CAB034010
DDX39B	CAB034012
INHBE	CAB034017
EEF1A2	CAB034019
HLA-DRB1	CAB034021
RASSF3	CAB034035
CISH	CAB034039
EIF3C	CAB034045
RAB27A	CAB034046
MYO7A	CAB034059
DOCK9	CAB034061
RANBP2	CAB034063
CHRNA4	CAB034064
DOCK9	CAB034065
DUSP18	CAB034070
MOB4	CAB034082
BHLHA15	CAB034083
APOM	CAB034086
GCKR	CAB034098
OGT	CAB034099
SST	CAB034105
BARD1	CAB034106
RNF5	CAB034107
FAM110A	CAB034110
LSS	CAB034116
RYK	CAB034117
C21orf2	CAB034126
C21orf2	CAB034128
CRYZL1	CAB034129
N6AMT1	CAB034133
N6AMT1	CAB034135
IGBP1	CAB034139
NDUFV3	CAB034142
PAX6	CAB034143
PTTG1IP	CAB034146
SLC37A1	CAB034154
LTN1	CAB034164
C21orf59	CAB034170
EVA1C	CAB034174
FAM207A	CAB034178
BRWD1	CAB034184
TCP10L2	CAB034197
TMEM50B	CAB034199
AP5S1	CAB034200
TSPEAR	CAB034203
TSPEAR	CAB034204
ANKRD10	CAB034211
WASHC5	CAB034216
CASS4	CAB034217
WASHC5	CAB034219
AAR2	CAB034220
TMEM64	CAB034221
KAT14	CAB034224
PROSER1	CAB034225
TMEM70	CAB034226
FAM83C	CAB034227
LACC1	CAB034228
TTI1	CAB034230
CCDC122	CAB034233
DHRS12	CAB034238
EXOSC8	CAB034240
EFCAB8	CAB034246
NARS	CAB034257
EIF2B1	CAB034258
AARS	CAB034261
TSNAX	CAB034263
SYNGR1	CAB034277
SYNGR3	CAB034278
ERO1A	CAB034294
FBXO7	CAB034296
SERPINB8	CAB034300
NFS1	CAB034314
PTGES3	CAB034319
S100A11	CAB034320
C8orf82	CAB034331
GAB1	CAB034333
KPNA4	CAB034336
SNRPC	CAB034338
PKNOX2	CAB034342
COPE	CAB034345
PDIA6	CAB034347
NAMPT	CAB034349
EPHB3	CAB034350
ZNF226	CAB034353
TSC22D3	CAB034364
PTPRA	CAB034366
NPY	CAB034368
SUPT5H	CAB034370
PKLR	CAB034376
PKLR	CAB034378
PSMB10	CAB034384
PGM5	CAB034397
STAM	CAB034399
VPS4A	CAB034411
EIF2S2	CAB034415
GGA2	CAB034422
NOV	CAB034423
SMOC1	CAB034427
ATG5	CAB034432
STXBP1	CAB034434
HCST	CAB034435
JCHAIN	CAB034436
SLC4A1	CAB034438
TMED10	CAB034442
UGDH	CAB034444
KPNB1	CAB034449
HSPA4L	CAB034450
M6PR	CAB034464
RHO	CAB034887
RHO	CAB034888
SRSF6	CAB034889
LIPA	CAB034892
IL22RA2	CAB034906
PPP6R2	CAB034919
CYYR1	CAB034921
DOPEY2	CAB034922
GTPBP6	CAB034924
TDRD3	CAB034925
SDHA	CAB034929
CAMKV	CAB034931
TNFRSF11B	CAB034939
NAT10	CAB035546
NPHS1	CAB035555
ACSL5	CAB035986
ANXA1	CAB035987
UBE2C	CAB035990
FSCN1	CAB035991
RAC1	CAB035994
ODC1	CAB035996
PTPA	CAB035999
MBD1	CAB036003
SERPINB3	CAB036006
SERPINB3	CAB036007
GSN	CAB036009
NME2	CAB036213
NME2	CAB036214
NME2	CAB036215
LIG1	CAB037015
HOXC8	CAB037020
ULK2	CAB037021
MYO1C	CAB037023
PDCD4	CAB037024
SYVN1	CAB037030
ATP13A2	CAB037038
HERPUD1	CAB037041
MIB1	CAB037044
RAB21	CAB037048
MAN1A1	CAB037058
SNTA1	CAB037059
APBA2	CAB037065
RAB14	CAB037066
G3BP1	CAB037068
PFN2	CAB037073
BUB3	CAB037075
CFL1	CAB037077
CFL2	CAB037078
BAZ1B	CAB037081
SNAP23	CAB037083
RBBP7	CAB037084
KIF3A	CAB037085
WASF3	CAB037086
HBD	CAB037087
SNAP29	CAB037092
DSTN	CAB037094
HERPUD1	CAB037104
EIF2B2	CAB037105
NR1H3	CAB037109
ATP13A2	CAB037111
CAB39	CAB037112
PCBP1	CAB037113
STIM1	CAB037128
DHFR	CAB037129
SLC17A6	CAB037130
RAB7A	CAB037131
VAMP8	CAB037132
CNKSR3	CAB037133
PFN1	CAB037134
ABCC3	CAB037136
UCHL3	CAB037139
PFN1	CAB037140
EXOSC10	CAB037141
SIRT3	CAB037142
VAMP8	CAB037147
ERCC3	CAB037153
SLC32A1	CAB037156
BAZ1B	CAB037158
LRRK2	CAB037160
LMAN1	CAB037163
H3F3B	CAB037166
CASP4	CAB037167
GBA	CAB037171
MAP1LC3A	CAB037174
CTNNA2	CAB037175
H3F3A	CAB037178
SLC17A7	CAB037183
SMC6	CAB037186
H3F3B	CAB037187
MYO9B	CAB037190
HAT1	CAB037191
ACTR1A	CAB037193
ATG4B	CAB037195
STIM2	CAB037196
MAOB	CAB037200
STUB1	CAB037202
SPRY2	CAB037205
HMGB2	CAB037206
UCHL3	CAB037208
STUB1	CAB037209
PAIP2	CAB037212
ZBTB7A	CAB037214
MAP1LC3B	CAB037216
RCAN1	CAB037218
H3F3B	CAB037221
NAPB	CAB037225
NAPB	CAB037227
DDX19B	CAB037229
WIPI1	CAB037230
SYNPO2	CAB037231
DERL3	CAB037234
EDEM2	CAB037238
RER1	CAB037240
ATG14	CAB037242
CETN1	CAB037244
SPTA1	CAB037246
DHCR24	CAB037247
GRK2	CAB037248
TMED10	CAB037251
MKNK2	CAB037253
UBQLN1	CAB037256
ATG3	CAB037260
SIRT7	CAB037261
MECP2	CAB037264
CADM1	CAB037266
NPHS2	CAB037267
DERL1	CAB037269
ABCC2	CAB037271
APH1A	CAB037272
SMARCA2	CAB037276
HIST4H4	CAB037279
MBD2	CAB037282
DDX19B	CAB037284
ZBTB7A	CAB037285
DERL2	CAB037287
STIM1	CAB037288
GBA	CAB037289
EDN1	CAB037291
ASAP1	CAB037292
ABCG2	CAB037299
RPL26	CAB037301
DAPK1	CAB037302
GPN1	CAB037303
LRSAM1	CAB037304
ATG5	CAB037309
MKNK1	CAB037310
ARHGAP35	CAB037311
RDX	CAB037312
CRMP1	CAB037313
SUMO2	CAB037314
SNAP23	CAB037317
SMARCE1	CAB037318
DDX56	CAB037320
KRT2	CAB037321
KRT9	CAB037322
DSP	CAB037324
SYNPO	CAB037325
DSC3	CAB037328
ACTC1	CAB037330
PLIN2	CAB037331
PLIN1	CAB037333
PKP4	CAB037334
PKP2	CAB037336
CTNND2	CAB037339
BTN1A1	CAB037340
HBA2	CAB038417
PDCD1	CAB038418
TMEM201	CAB039039
TP53	CAB039238
TP53	CAB039239
VEGFA	CAB039240
HIRA	CAB039243
HIRA	CAB039244
CDCA8	CAB040294
LAMA2	CAB040310
MAGEA4	CAB040535
BCL2L2	CAB040539
GLO1	CAB040541
GLO1	CAB040542
CHGA	CAB040544
GSTM2	CAB040547
S100A6	CAB040549
SFN	CAB040552
GCLM	CAB040554
CLIC1	CAB040557
CRYAB	CAB040560
GPI	CAB040563
PSAT1	CAB040567
NME1	CAB040571
FABP5	CAB040577
MAPK14	CAB040578
SNCG	CAB040581
GSTM3	CAB040583
MRFAP1	CAB042447
SCGN	CAB044060
ABCB10	CAB044063
ABCB10	CAB044065
SRMS	CAB044668
SRMS	CAB044669
PAK4	CAB044670
ACSBG1	CAB045955
ALDH3A1	CAB045957
AMY2A	CAB045960
ARNTL	CAB045962
CAPZA1	CAB045963
DPP4	CAB045970
FAHD2A	CAB045971
FAHD2A	CAB045972
GBP2	CAB045975
HDAC10	CAB045977
HDHD2	CAB045978
IFIT1	CAB045980
MRI1	CAB045988
NEK6	CAB045993
NME4	CAB045997
PDE10A	CAB045998
PROM2	CAB046005
PSMA7	CAB046007
PSMA7	CAB046008
RALBP1	CAB046010
RDH11	CAB046011
RIC8A	CAB046012
RNF144B	CAB046013
SLC2A6	CAB046014
SLC7A8	CAB046015
SSX2	CAB046020
STK39	CAB046022
TTLL12	CAB046029
TUBA8	CAB046031
VAT1L	CAB046032
VPS4B	CAB046445
TNPO2	CAB046446
PKD1	CAB046448
TRIP6	CAB046454
BRD7	CAB046458
VRK2	CAB046459
TRIP6	CAB046460
ALS2CL	CAB046465
ADIPOQ	CAB046467
FRAT1	CAB046472
CORO1A	CAB046473
HNRNPUL1	CAB046477
LPXN	CAB046478
MYOCD	CAB046485
DVL3	CAB046486
PSMD4	CAB047300
OGG1	CAB047301
AKR1C1	CAB047303
AKR1C2	CAB047304
APEX1	CAB047307
CA8	CAB047309
CDC34	CAB047311
CKB	CAB047313
CSTA	CAB047315
CSTB	CAB047320
EZR	CAB047324
FABP2	CAB047325
FABP2	CAB047326
GMNN	CAB047327
GMNN	CAB047328
HSPB1	CAB047330
HSPB1	CAB047331
HSPB1	CAB047332
MDH1	CAB047333
MSN	CAB047336
MSN	CAB047337
MSN	CAB047338
S100A2	CAB047340
SAT1	CAB047343
SULT1E1	CAB047344
YWHAE	CAB047350
AKR1B1	CAB047353
S100A6	CAB047354
GSTM1	CAB047357
PRDX4	CAB047362
NKX2-1	CAB053633
INS	CAB053843
PAX8	CAB055097
EPCAM	CAB055098
ESR1	CAB055099
PGR	CAB055100
MUC16	CAB055172
SYP	CAB055505
CHGA	CAB055506
SMC4	CAB055509
SKAP1	CAB055513
CYFIP2	CAB055519
FCER1A	CAB055526
SATB1	CAB056144
SOX11	CAB056152
SOX11	CAB056153
PTPRC	CAB056154
TG	CAB056155
APOL1	CAB056156
ADAR	CAB056157
ATAD2	CAB056158
ARG1	CAB056159
SLC27A5	CAB056160
ZEB1	CAB058686
VIM	CAB058687
CHGA	CAB058688
AQP4	CAB058689
SIX1	CAB058690
FUS	CAB058691
NES	CAB058692
ANXA1	CAB058693
EMD	CAB058694
PCM1	CAB058695
FBN1	CAB058696
FABP7	CAB058697
S100A4	CAB058698
COL3A1	CAB059993
PAX8	CAB061888
COTL1	CAB062328
HIST1H2BD	CAB062336
ACSL5	CAB062546
ANLN	CAB062547
CA12	CAB062549
CTCF	CAB062550
EMD	CAB062552
GDF15	CAB062554
ERBB2	CAB062555
IDH1	CAB062556
P4HA2	CAB062557
PODXL	CAB062558
RBM3	CAB062559
RNASE7	CAB062560
RUNX2	CAB062561
SATB2	CAB062562
SCGN	CAB062563
STX7	CAB062564
TSPAN7	CAB062566
TTR	CAB062567
AR	CAB065764
SATB2	CAB067751
ANLN	CAB068175
ATRX	CAB068176
BRD4	CAB068177
BRD4	CAB068178
CA12	CAB068179
CD4	CAB068180
CTCF	CAB068181
CTCF	CAB068182
DIAPH2	CAB068183
DIAPH2	CAB068184
DICER1	CAB068185
EGFR	CAB068186
FBLN1	CAB068187
FBN1	CAB068188
FLT1	CAB068189
FLT1	CAB068190
HDAC1	CAB068191
HNF1B	CAB068192
KDM5B	CAB068193
MACC1	CAB068194
MCL1	CAB068195
MEF2C	CAB068196
MEF2C	CAB068197
MKI67	CAB068198
MMP9	CAB068199
MMP9	CAB068200
MMP9	CAB068201
MRC1	CAB068203
MTDH	CAB068204
MTDH	CAB068205
NAPRT	CAB068206
NAPRT	CAB068207
NECAB1	CAB068208
NECAB1	CAB068209
NECAB1	CAB068210
NECAB2	CAB068211
OCLN	CAB068212
OCLN	CAB068213
OCLN	CAB068214
PGAM5	CAB068215
PHGDH	CAB068216
PLA2R1	CAB068217
PLA2R1	CAB068218
PODXL	CAB068219
PODXL	CAB068220
PTPRC	CAB068221
REST	CAB068222
RHOT1	CAB068223
RHOT1	CAB068224
RNASE7	CAB068225
RUNX2	CAB068226
S100A4	CAB068227
S100A4	CAB068228
SATB2	CAB068229
SATB2	CAB068230
SATB2	CAB068231
SCGN	CAB068232
SDHB	CAB068233
SDHB	CAB068234
SDHB	CAB068235
SLC22A2	CAB068236
SLC22A2	CAB068237
SLC27A5	CAB068239
SOX9	CAB068240
STAT3	CAB068241
STAT3	CAB068242
THY1	CAB068243
THY1	CAB068244
TSPAN7	CAB068245
NSD2	CAB068246
NSD2	CAB068247
WWTR1	CAB068248
ZNF703	CAB068249
APOA4	CAB068250
APOA4	CAB068251
APOA4	CAB068252
KIT	CAB068253
SERPINE1	CAB068501
DCN	CAB068930
ENO1	CAB069394
CSNK2A1	CAB069395
MAPK8	CAB069396
APAF1	CAB069399
COIL	CAB069400
CDKN1A	CAB069401
LDHA	CAB069404
CDK4	CAB069405
TARBP2	CAB069406
SMAD3	CAB069409
GLRX	CAB069419
PTPRT	CAB069423
MTOR	CAB069425
PPP1CB	CAB069426
C6	CAB069427
RPS6KA2	CAB069428
AMBP	CAB069436
RRAS	CAB069439
PTPN14	CAB069441
DUSP28	CAB069448
GPX3	CAB069456
AIP	CAB069477
CITED2	CAB069879
DSG3	CAB069880
MGMT	CAB069881
SMN1	CAB069888
ABCA1	CAB069889
JARID2	CAB069890
DNMT3B	CAB069896
HIF1AN	CAB069903
VEGFA	CAB069907
SAT1	CAB069914
YAP1	CAB069915
DEFA5	CAB069919
APOE	CAB069921
STRN3	CAB069925
NACC1	CAB069927
SIAH2	CAB069930
CELF1	CAB069989
HIST2H3C	CAB069990
ATP1A1	CAB069993
SCARB1	CAB070124
NPC1L1	CAB070127
NPC1L1	CAB070128
NPC1	CAB070132
CENPF	CAB070134
PALLD	CAB070159
AKR1B10	CAB070163
USP9X	CAB070164
NKX6-1	CAB070169
EXOSC9	CAB070171
HIST1H3F	CAB070190
ASRGL1	CAB070192
CDC42BPA	CAB070414
PRPS2	CAB070417
HMBOX1	CAB070418
PLSCR1	CAB070421
GLRA2	CAB070422
SNX12	CAB070423
IPO13	CAB070425
PEX26	CAB070429
NDUFS1	CAB070844
NDUFA10	CAB070846
MSH2	CAB070867
MLH1	CAB070868
MSH6	CAB070870
HDAC3	CAB072336
TH	CAB072340
DLG2	CAB072341
PPP2R5E	CAB072342
VDAC1	CAB072343
MAPT	CAB072344
BCL2L1	CAB072801
CHKA	CAB072803
CHP2	CAB072806
EBAG9	CAB072810
EBAG9	CAB072811
EBAG9	CAB072812
FAF1	CAB072814
HSPD1	CAB072816
IDO1	CAB072820
IL6	CAB072821
ITCH	CAB072824
ITCH	CAB072825
CCAR2	CAB072827
CCAR2	CAB072828
NCOR1	CAB072830
NEDD4	CAB072833
OTUB1	CAB072836
PDLIM1	CAB072838
PDLIM1	CAB072840
PTPN6	CAB072845
TACSTD2	CAB072852
CDH1	CAB072855
CDH1	CAB072856
CDH1	CAB072857
ESR1	CAB072858
ERCC1	CAB072859
ERCC1	CAB072860
CD68	CAB072861
CD68	CAB072862
CD3E	CAB072863
CD3E	CAB072864
CD14	CAB072865
CD14	CAB072866
KIT	CAB072867
CD40	CAB072868
ITGAM	CAB072870
ITGAX	CAB072871
ITIH4	CAB072872
ENG	CAB072873
VWF	CAB072874
VWF	CAB072875
TP53	CAB072876
SERPINA1	CAB073396
TDP2	CAB073398
TTR	CAB073406
UBE2L6	CAB073407
UBA1	CAB073410
UBE2E1	CAB073413
UBE2E2	CAB073417
UBE2J1	CAB073419
PLAUR	CAB073533
EGFR	CAB073534
DCAF4L1	CAB073535
ITGB6	CAB073536
TGFBR2	CAB073537
GRB7	CAB073538
ENO2	CAB073539
HTN3	CAB073541
COX7A2L	CAB073545
SMAD2	CAB073546
AQP9	CAB075684
HAVCR1	CAB075697
MADCAM1	CAB075699
PPARA	CAB075701
SLC22A6	CAB075704
CD8A	CAB075722
MYH6	CAB075723
MYH6	CAB075724
MYH6	CAB075725
PARP1	CAB075726
PARP1	CAB075727
NIFK	CAB075728
NIFK	CAB075729
TUFM	CAB075730
TUFM	CAB075731
TUFM	CAB075732
VPS26A	CAB075733
CARS	CAB075734
CARS	CAB075735
CARS	CAB075736
CARS	CAB075737
EZR	CAB075739
LY6K	CAB075742
LY6K	CAB075743
PDIA3	CAB075744
ZYX	CAB075747
ABCD3	CAB075749
CS	CAB075750
CS	CAB075751
CS	CAB075752
CS	CAB075753
CS	CAB075754
HNRNPC	CAB075755
HNRNPC	CAB075756
NOP56	CAB075757
GORASP2	CAB075758
NME1-NME2	CAB076057
USP46	CAB076369
USP46	CAB076370
VANGL1	CAB076375
CD274	CAB076385
PDCD1	CAB076386
HSP90B1	CAB078151
LAMA4	CAB078156
LAMA5	CAB078157
LAMB2	CAB078160
LAMC1	CAB078163
LAMC2	CAB078165
SLC6A3	CAB078172
GAD1	CAB078176
GAD2	CAB078177
LAMA2	CAB078182
LAMB3	CAB078183
SLC6A2	CAB078195
S100B	CAB078196
TPH2	CAB078198
SLC17A6	CAB078204
BMP2	CAB078457
HLA-A	CAB078470
CD24	CAB078471
CDH2	CAB078686
SNAI1	CAB078687
RBFOX3	CAB078782
GAP43	CAB078783
VAMP2	CAB078785
DAGLA	CAB078793
RAB3A	CAB078998
SYP	CAB078999
VAMP1	CAB079000
CPLX3	CAB079003
SYN2	CAB079005
STX2	CAB079007
STX1B	CAB079008
SCAMP1	CAB079009
SLC18A3	CAB079011
PCLO	CAB079012
ARC	CAB079013
HOMER2	CAB079014
HOMER3	CAB079015
STXBP5	CAB079016
SEC22B	CAB079017
CTBP2	CAB079018
GABRA5	CAB079022
ENO2	CAB079023
UCHL1	CAB079024
CNGA3	CAB079025
CACNA1C	CAB079031
CACNA1E	CAB079032
SLC16A1	CAB079035
GLRA1	CAB079042
SLC30A3	CAB079044
RIMS2	CAB079049
CASKIN1	CAB079050
TPRG1L	CAB079051
SLC6A5	CAB079052
CHAT	CAB079053
SLC17A8	CAB079058
GABRG2	CAB079060
GABRA2	CAB079061
ADAM22	CAB079064
GABBR2	CAB079065
PPP2R2A	CAB079289
ESR2	CAB079300
SOX2	CAB079745
CDK5RAP2	CAB079753
CEP350	CAB079754
LMNB1	CAB079757
POU5F1	CAB079773
CALR	CAB079775
CARTPT	CAB079776
PDYN	CAB079777
HCRT	CAB079778
GAL	CAB079779
VIP	CAB079780
NUCB2	CAB079781
WNT16	NA
ARF5	NA
ABCB5	NA
ARX	NA
CCL26	NA
MYH13	NA
MYLIP	NA
NOX1	NA
CAMK1G	NA
TFAP2D	NA
MED24	NA
PAX7	NA
ANOS1	NA
MAN2B2	NA
PLEKHB1	NA
SH2D2A	NA
IBSP	NA
NUP160	NA
MUSK	NA
IFT88	NA
TMSB10	NA
CYP46A1	NA
AP2S1	NA
USH2A	NA
GUCA2B	NA
TNFRSF17	NA
LMO3	NA
VAMP3	NA
MCUR1	NA
NNAT	NA
SPO11	NA
KCNH2	NA
MSH4	NA
DGAT2	NA
DLX3	NA
TAF2	NA
SEC61A2	NA
TIE1	NA
ZMYND12	NA
ADGRF5	NA
DRD4	NA
FGF22	NA
CSNK2A2	NA
SNX13	NA
SPP2	NA
TRPC5	NA
TRHDE	NA
SELENOO	NA
GRAMD4	NA
FGF20	NA
TP53INP2	NA
MYH7B	NA
DUSP13	NA
RDH8	NA
MID2	NA
CXCL2	NA
COL4A4	NA
ZNF506	NA
KCNK2	NA
CETP	NA
METTL2A	NA
CRLS1	NA
DEFB127	NA
EBF4	NA
CPXM1	NA
KIZ	NA
SIRPG	NA
LHX5	NA
KCNH4	NA
THPO	NA
FLT3LG	NA
